App_Age,App_Race,birst_constant_one,row
28,CAUCASIAN,\N,\N
28,CAUCASIAN,\N,\N
28,CAUCASIAN,\N,\N
28,CAUCASIAN,\N,\N
28,CAUCASIAN,\N,\N
28,CAUCASIAN,\N,\N
28,CAUCASIAN,\N,\N
28,CAUCASIAN,\N,\N
28,CAUCASIAN,\N,\N
28,CAUCASIAN,\N,\N
28,CAUCASIAN,\N,\N
28,CAUCASIAN,\N,\N
28,CAUCASIAN,\N,\N
28,CAUCASIAN,\N,\N
28,CAUCASIAN,\N,\N
28,CAUCASIAN,\N,\N
28,CAUCASIAN,\N,\N
28,CAUCASIAN,\N,\N
28,CAUCASIAN,\N,\N
28,CAUCASIAN,\N,\N
28,CAUCASIAN,\N,\N
28,CAUCASIAN,\N,\N
28,CAUCASIAN,\N,\N
28,CAUCASIAN,\N,\N
28,CAUCASIAN,\N,\N
28,CAUCASIAN,\N,\N
28,CAUCASIAN,\N,\N
28,CAUCASIAN,\N,\N
28,CAUCASIAN,\N,\N
28,CAUCASIAN,\N,\N
28,CAUCASIAN,\N,\N
28,CAUCASIAN,\N,\N
29,BLACK,\N,\N
29,BLACK,\N,\N
29,BLACK,\N,\N
29,BLACK,\N,\N
29,BLACK,\N,\N
29,CAUCASIAN,\N,\N
29,CAUCASIAN,\N,\N
29,CAUCASIAN,\N,\N
29,CAUCASIAN,\N,\N
29,CAUCASIAN,\N,\N
29,CAUCASIAN,\N,\N
29,CAUCASIAN,\N,\N
29,CAUCASIAN,\N,\N
29,CAUCASIAN,\N,\N
29,CAUCASIAN,\N,\N
29,CAUCASIAN,\N,\N
29,CAUCASIAN,\N,\N
29,CAUCASIAN,\N,\N
29,CAUCASIAN,\N,\N
29,CAUCASIAN,\N,\N
29,CAUCASIAN,\N,\N
29,CAUCASIAN,\N,\N
29,CAUCASIAN,\N,\N
29,CAUCASIAN,\N,\N
29,CAUCASIAN,\N,\N
29,CAUCASIAN,\N,\N
29,CAUCASIAN,\N,\N
29,CAUCASIAN,\N,\N
29,CAUCASIAN,\N,\N
29,CAUCASIAN,\N,\N
29,CAUCASIAN,\N,\N
29,CAUCASIAN,\N,\N
29,CAUCASIAN,\N,\N
29,CAUCASIAN,\N,\N
29,CAUCASIAN,\N,\N
29,CAUCASIAN,\N,\N
29,CAUCASIAN,\N,\N
29,CAUCASIAN,\N,\N
29,CAUCASIAN,\N,\N
30,BLACK,\N,\N
30,BLACK,\N,\N
30,CAUCASIAN,\N,\N
30,CAUCASIAN,\N,\N
30,CAUCASIAN,\N,\N
30,CAUCASIAN,\N,\N
30,CAUCASIAN,\N,\N
30,CAUCASIAN,\N,\N
30,CAUCASIAN,\N,\N
30,CAUCASIAN,\N,\N
30,CAUCASIAN,\N,\N
30,CAUCASIAN,\N,\N
30,CAUCASIAN,\N,\N
30,CAUCASIAN,\N,\N
30,CAUCASIAN,\N,\N
30,CAUCASIAN,\N,\N
30,CAUCASIAN,\N,\N
30,CAUCASIAN,\N,\N
30,CAUCASIAN,\N,\N
30,CAUCASIAN,\N,\N
30,CAUCASIAN,\N,\N
